Image number,Brightness,Red,Green,Blue,Object,Reliability,Size of box
63,126.18750277777778,121.02283888888888,127.62475555555557,125.36943333333332,car,98.5523760318756,957.0
63,126.18750277777778,121.02283888888888,127.62475555555557,125.36943333333332,car,97.4984347820282,999.0
64,144.06973333333335,144.32931666666667,144.99837222222223,142.13018888888888,car,99.00851845741272,26313.0
64,144.06973333333335,144.32931666666667,144.99837222222223,142.13018888888888,car,89.36682939529419,80.0
64,144.06973333333335,144.32931666666667,144.99837222222223,142.13018888888888,car,95.07589936256409,120.0
64,144.06973333333335,144.32931666666667,144.99837222222223,142.13018888888888,car,68.46249103546143,360.0
64,144.06973333333335,144.32931666666667,144.99837222222223,142.13018888888888,car,99.74233508110046,1785.0
65,136.31158888888888,129.40481944444446,137.453425,136.65885277777778,car,92.41164922714232,1024.0
66,128.2348472222222,128.76225277777775,128.85595833333332,126.7870638888889,person,99.44761991500854,1273.0
67,127.17988611111112,122.45481666666667,128.36948055555555,126.60706666666668,car,99.92778301239014,26924.0
67,127.17988611111112,122.45481666666667,128.36948055555555,126.60706666666668,car,92.49523282051086,55913.0
67,127.17988611111112,122.45481666666667,128.36948055555555,126.60706666666668,bus,63.62031698226929,3575.0
67,127.17988611111112,122.45481666666667,128.36948055555555,126.60706666666668,truck,60.65443754196167,5544.0
67,127.17988611111112,122.45481666666667,128.36948055555555,126.60706666666668,car,62.4584436416626,110.0
68,131.2774611111111,122.45710277777778,131.42842777777778,134.28517222222223,car,99.97780323028564,9164.0
68,131.2774611111111,122.45710277777778,131.42842777777778,134.28517222222223,car,78.1687319278717,63.0
68,131.2774611111111,122.45710277777778,131.42842777777778,134.28517222222223,car,90.22701978683472,182.0
68,131.2774611111111,122.45710277777778,131.42842777777778,134.28517222222223,car,98.8654851913452,2040.0
69,114.27568333333332,107.78437777777778,114.46325,116.35073055555556,car,79.93960380554199,143.0
69,114.27568333333332,107.78437777777778,114.46325,116.35073055555556,car,79.44825887680054,156.0
69,114.27568333333332,107.78437777777778,114.46325,116.35073055555556,person,94.32116746902466,817.0
70,119.26329722222222,114.19518333333332,120.21846111111113,119.27866944444445,,,
71,134.46423055555556,130.52911666666665,135.52369166666668,133.89616388888888,car,99.96054172515868,7410.0
71,134.46423055555556,130.52911666666665,135.52369166666668,133.89616388888888,car,98.84195923805235,234.0
71,134.46423055555556,130.52911666666665,135.52369166666668,133.89616388888888,car,98.5494077205658,1476.0
71,134.46423055555556,130.52911666666665,135.52369166666668,133.89616388888888,car,85.00316143035889,391.0
72,101.05152777777778,97.6117,102.05717777777778,100.37756666666668,car,90.3443157672882,29106.0
73,92.51570277777778,87.57730277777777,95.48336388888887,88.5257388888889,car,98.59777688980104,15762.0
73,92.51570277777778,87.57730277777777,95.48336388888887,88.5257388888889,car,76.5139102935791,396.0
73,92.51570277777778,87.57730277777777,95.48336388888887,88.5257388888889,car,97.6084053516388,224.0
74,131.67235277777775,129.4039138888889,132.6523666666667,130.60082222222223,car,96.43247723579408,210.0
75,135.3890888888889,127.63745,135.93763055555556,137.22874444444443,car,99.72991943359376,3828.0
75,135.3890888888889,127.63745,135.93763055555556,137.22874444444443,car,90.66492915153503,725.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,84.67249274253845,65314.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,93.45476031303406,5658.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,60.23426055908203,225.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,70.7496702671051,208.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,63.860487937927246,168.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,86.62746548652649,374.0
76,86.05655833333333,87.97665833333333,87.22764166666667,82.94496111111111,car,87.98461556434631,777.0
