,Image number,Object,Reliability,Size of box
2179,430,car,87.40894198417664,132
2180,430,car,90.39553999900818,234
2181,430,car,79.35119867324829,280
2182,430,car,80.0389051437378,735
2183,430,car,97.92583584785461,1254
2184,431,person,99.746173620224,12628
2185,432,car,96.36152982711792,4488
2186,433,car,99.57325458526611,21812
2187,433,car,80.30427098274231,299
2188,434,car,91.9309914112091,42731
2189,434,car,97.00618982315063,7371
2190,434,car,83.36865305900574,99
2191,434,car,89.48493003845215,99
2192,434,car,74.33775067329407,140
2193,434,person,79.98595237731934,768
2194,434,car,80.46866059303284,276
2195,434,car,92.99172759056091,1800
2196,435,car,99.03655052185059,4664
2197,437,car,99.79501962661743,2058
2198,438,car,88.78443837165833,32277
2199,438,car,71.90505862236023,300
2200,438,car,96.8370258808136,660
2201,438,car,92.92239546775818,570
2202,439,car,74.30993318557739,192
2203,439,car,98.61757159233093,357
2204,439,car,69.47140693664551,770
2205,439,car,96.56316041946411,1560
2206,440,car,62.208110094070435,150
2207,440,car,97.72617816925049,384
2208,440,car,95.33544182777405,672
2209,440,car,98.68994951248169,1008
2210,440,car,83.46365690231323,814
2211,441,car,64.84637260437012,170
2212,441,car,83.84085297584534,1200
2213,444,car,96.1956799030304,4130
2214,444,car,94.75725293159485,3952
2215,444,car,73.63350987434387,273
2216,444,car,84.11549925804138,187
2217,445,car,99.1442859172821,31465
2218,445,car,74.23489689826965,132
2219,445,car,88.74928951263428,143
2220,445,car,97.01194167137146,280
2221,445,car,98.20094108581543,1850
2222,446,car,99.28155541419983,952
2223,447,car,95.88533639907837,3770
2224,447,person,98.8812506198883,2992
2225,448,car,77.33597159385681,4278
2226,448,car,91.74755811691284,14140
2227,449,truck,61.15814447402954,84132
2228,449,traffic light,69.77600455284119,171
2229,449,car,97.68446087837219,140
2230,449,car,83.60714912414551,88
2231,449,car,86.49680614471436,192
2232,449,car,89.9915874004364,338
2233,449,car,98.2934057712555,920
2234,450,car,93.75889897346497,3375
2235,450,car,96.07250690460205,15548
2236,450,person,60.67213416099548,210
2237,451,car,97.39736318588257,24252
2238,452,car,72.8082001209259,306
2239,452,car,67.74807572364807,225
2240,452,car,61.64220571517944,196
2241,453,car,99.80686902999878,17372
2242,453,bicycle,88.19719552993774,5922
2243,453,car,69.84223127365112,195
2244,453,car,85.78342199325562,132
2245,453,car,85.76273322105408,650
2246,453,car,99.00802373886108,2014
2247,455,car,99.3541419506073,4446
2248,455,bicycle,69.66253519058228,3479
2249,455,car,86.64290308952332,168
2250,455,car,89.0739381313324,525
2251,455,car,82.73855447769165,756
2252,456,car,99.1562008857727,42750
2253,456,car,60.37416458129883,64
2254,456,car,88.47924470901489,754
2255,456,car,92.8809404373169,2208
2256,457,car,78.52128744125366,448
2257,458,car,97.69145846366882,39794
2258,458,car,99.60241913795471,8424
2259,458,car,78.14313769340515,110
2260,458,car,90.772944688797,1548
2261,459,truck,98.76161217689514,17110
2262,459,car,92.67957806587219,288
2263,459,car,71.87417149543762,168
2264,460,car,94.0457820892334,21432
2265,460,truck,84.95627641677856,10703
2266,460,car,94.75717544555664,8200
2267,460,car,69.71718668937683,100
2268,460,car,85.01657247543335,272
2269,460,car,82.5929343700409,221
2270,460,car,93.93237829208374,891
2271,460,car,99.56481456756592,1364
2272,461,person,99.45650696754456,5936
2273,461,car,99.80522394180298,1680
2274,461,person,98.36404919624329,1368
2275,462,car,99.89712238311768,4366
2276,462,car,85.74414849281311,154
2277,462,parking meter,72.12172150611877,225
2278,462,car,93.54024529457092,759
2279,462,car,71.08526229858398,300
2280,463,car,99.87450838088989,6072
2281,463,car,60.839176177978516,630
2282,463,car,89.9888813495636,1517
2283,463,car,71.87482118606567,910
2284,464,car,99.00303483009338,6784
2285,464,car,89.45769667625427,380
2286,464,car,91.20216369628906,378
2287,464,bicycle,80.22540807723999,2666
2288,467,car,99.74977970123291,24613
2289,467,car,82.67993330955505,37576
2290,467,car,99.80437755584717,6396
2291,467,car,89.81940746307373,440
2292,467,car,87.57455348968506,121
2293,467,car,83.99010300636292,120
2294,467,car,91.81445837020874,552
2295,467,person,87.88250088691711,168
2296,467,car,99.81820583343506,2024
2297,467,car,98.9379346370697,2438
2298,468,car,90.37305116653442,420
2299,468,person,61.304014921188354,230
2300,469,bicycle,81.10918998718262,2535
2301,469,car,84.44165587425232,99
2302,469,car,98.81309866905212,891
2303,469,car,87.46315240859985,204
2304,469,bicycle,90.35713076591492,1599
2305,471,person,92.54663586616516,270
2306,471,person,80.00097274780273,210
2307,472,car,99.5987594127655,13680
2308,472,car,99.48708415031433,23140
2309,472,car,95.48556208610535,17584
2310,472,car,76.91982388496399,286
2311,472,car,98.46400022506714,1608
2312,472,car,91.6099488735199,656
2313,472,car,98.99839162826538,2256
2314,472,car,63.99896740913391,725
2315,472,car,96.44752144813538,2209
2316,473,car,99.53249096870422,14688
2317,473,car,84.21051502227783,24797
2318,473,car,97.83058762550354,10500
2319,473,car,60.01397371292114,117
2320,473,car,67.60895252227783,182
2321,473,car,61.53892278671265,132
2322,473,car,92.01598763465881,168
2323,473,car,82.88589715957642,928
2324,473,car,82.82608985900879,323
2325,473,car,98.46606254577637,1672
2326,473,car,98.70290756225586,2016
2327,473,bicycle,78.194260597229,1548
2328,474,car,98.30981492996216,12750
2329,474,car,98.73050451278687,3773
2330,474,car,99.920254945755,7038
2331,474,car,97.22738862037659,14820
2332,474,car,97.34862446784973,27280
2333,474,car,81.61865472793579,285
2334,474,car,65.1129424571991,96
2335,474,car,98.94277453422546,1428
2336,474,car,76.21708512306213,306
2337,474,car,94.26517486572266,988
2338,474,car,87.09554672241211,1160
2339,475,car,99.86498355865479,19758
2340,475,car,73.76291751861572,121
2341,475,car,89.75563645362854,196
2342,475,car,70.50838470458984,238
2343,475,car,96.82689905166626,1075
2344,475,car,82.42748975753784,912
2345,475,car,91.93808436393738,882
2346,475,car,81.20958209037781,1269
2347,475,car,89.74224925041199,322
2348,476,car,99.64823126792908,10080
2349,476,car,89.58068490028381,165
2350,477,car,83.1095278263092,20881
2351,477,car,94.15422677993774,49259
